artifact,artifact_type,technique,ref_type,ref_value,source_file
IBM ART,Tool,Elastic Net,author_citation,"Authors, 2018",art/attacks/evasion/elastic_net.py
IBM ART,Tool,Dpatch,arxiv,1806.02299,art/attacks/evasion/dpatch.py
IBM ART,Tool,Dpatch,arxiv,1806.02299,art/attacks/evasion/dpatch.py
IBM ART,Tool,Dpatch,author_citation,"Authors, 2020",art/attacks/evasion/dpatch.py
IBM ART,Tool,Adversarial Asr,arxiv,1801.01944,art/attacks/evasion/adversarial_asr.py
IBM ART,Tool,Adversarial Asr,arxiv,1801.01944,art/attacks/evasion/adversarial_asr.py
IBM ART,Tool,Adversarial Asr,author_citation,"Authors, 2020",art/attacks/evasion/adversarial_asr.py
IBM ART,Tool,Sign Opt,author_citation,"Authors, 2022",art/attacks/evasion/sign_opt.py
IBM ART,Tool,Sign Opt,author_citation,"recommended, 5000",art/attacks/evasion/sign_opt.py
IBM ART,Tool,Sign Opt,author_citation,"recommended, 4000",art/attacks/evasion/sign_opt.py
IBM ART,Tool,Sign Opt,author_citation,"Chen and Zhang, 2019",art/attacks/evasion/sign_opt.py
IBM ART,Tool,Deepfool,arxiv,1511.04599,art/attacks/evasion/deepfool.py
IBM ART,Tool,Deepfool,arxiv,1511.04599,art/attacks/evasion/deepfool.py
IBM ART,Tool,Deepfool,author_citation,"Authors, 2018",art/attacks/evasion/deepfool.py
IBM ART,Tool,Iterative Method,arxiv,1607.02533,art/attacks/evasion/iterative_method.py
IBM ART,Tool,Iterative Method,arxiv,1607.02533,art/attacks/evasion/iterative_method.py
IBM ART,Tool,Iterative Method,author_citation,"Authors, 2018",art/attacks/evasion/iterative_method.py
IBM ART,Tool,Pixel Threshold,arxiv,1906.06026,art/attacks/evasion/pixel_threshold.py
IBM ART,Tool,Pixel Threshold,arxiv,1710.08864,art/attacks/evasion/pixel_threshold.py
IBM ART,Tool,Pixel Threshold,arxiv,1906.06026,art/attacks/evasion/pixel_threshold.py
IBM ART,Tool,Pixel Threshold,arxiv,1611.01236,art/attacks/evasion/pixel_threshold.py
IBM ART,Tool,Pixel Threshold,arxiv,1710.08864,art/attacks/evasion/pixel_threshold.py
IBM ART,Tool,Pixel Threshold,arxiv,1906.06026,art/attacks/evasion/pixel_threshold.py
IBM ART,Tool,Pixel Threshold,arxiv,1906.06026,art/attacks/evasion/pixel_threshold.py
IBM ART,Tool,Pixel Threshold,author_citation,"Authors, 2020",art/attacks/evasion/pixel_threshold.py
IBM ART,Tool,Pixel Threshold,author_citation,"Kondratyuk, 2018",art/attacks/evasion/pixel_threshold.py
